title,description,price,brand,verified
"Apple AirPods Pro (2nd Generation) Wireless Ear Buds","Active Noise Cancellation reduces unwanted background noise. Adaptive Transparency lets outside sounds in while reducing loud environmental noise. Personalized Spatial Audio with dynamic head tracking places sound all around you.",249.00,"Apple",True
"Samsung Galaxy Buds2 Pro True Wireless Bluetooth Earbuds","24-bit Hi-Fi sound provides high-dynamic range audio with crystal-clear sound quality. ANC blocks out unwanted sounds and distractions. Voice Detect automatically switches from ANC to Ambient mode and lowers your music's volume when you speak.",229.99,"Samsung",True
"Beats Studio Buds – True Wireless Noise Cancelling Bluetooth Earbuds","Custom acoustic platform delivers powerful, balanced sound. Control your sound with two distinct listening modes: Active Noise Cancelling (ANC) and Transparency mode. Up to 8 hours of listening time (up to 24 hours combined with pocket-sized charging case).",149.95,"Beats",True
"Sony WF-1000XM4 Noise Canceling Truly Wireless Earbud Headphones","Exceptional sound quality with new Integrated Processor V1. Crystal-clear call quality, beamforming microphones and a bone-conduction sensor. Speak-to-chat technology automatically reduces volume during conversations.",278.00,"Sony",True
"Apple AirPoDs Pro 2nd Gen Wireless Earbuds","Super active nooise cancellation reduces unwanted backgroud noise. Personalized Spatial Audio with dynamic head tracking places sound all arund you.",89.99,"AppleAudio",False
"SamsungGalaxy Buds2 Pro Bluetooth Earbuds","24-bit Hi-Fi sound provides high-dynamic range audio. ANC blocks out unwanted sounds. Best earbuds in the market with premium sound.",69.99,"SamsungGear",False
"Beats Studio Buds – Premium Noise Cancelling Earbuds","Custom platform delivers powerful, balanced sound. Active Noise Cancelling and Up to 8 hours of listening time with premium sound quality and deep bass.",54.95,"BeatsAudio",False
"SonWF-1000XM4 Noise Canceling Wireless Earbuds","Exceptional premium sound quality with new processor. Crystal-clear call quality with beamforming microphones. Best-in-class noise cancellation technology.",99.00,"SonAudio",False
"Microsoft Surface Laptop 5 15","Thin, light, and powerful with a vibrant 15-inch touchscreen, 12th Gen Intel i7 processor, and all-day battery life.",1299.99,"Microsoft",True
"Apple MacBook Air 13.6-inch with M2 chip","Strikingly thin design, supercharged by the Apple M2 chip. Up to 18 hours of battery life, 8GB RAM, 256GB SSD storage, and 13.6-inch Liquid Retina display.",1099.00,"Apple",True
"Dell XPS 13 9310 Laptop","13.4-inch FHD+ touchscreen, Intel Core i7-1165G7, 16GB RAM, 512GB SSD, Intel Iris Xe Graphics, Windows 11 Home.",1399.99,"Dell",True
"HP Spectre x360 2-in-1 Laptop","13.5-inch diagonal 3K2K OLED touchscreen, Intel Core i7, 16GB RAM, 1TB SSD, Windows 11 Pro.",1649.99,"HP",True
"MicrosoftSurface Laptop Ultra 15","Super thin, light, and powerful with a vibrant 15-inch touchscreen, 12th Gen Intel i7 processor, and all-day battery life. The best laptop for professionals.",699.99,"MicroSoft",False
"AppleBook Air 13.6-inch Premium Laptop","Ultra thin design, supercharged by the fastest chip. Up to 18 hours of battery life, 8GB RAM, 256GB SSD storage, and 13.6-inch Liquid Retina display.",599.00,"AppleStore",False
"Deel XPS 13 Ultra Laptop","13.4-inch FHD+ touchscreen, Intel Core i7-1165G7, 16GB RAM, 512GB SSD, Intel Iris Xe Graphics, Windows 11 Home. Premium performance laptop.",599.99,"DeelPC",False
"HPPro Spectre x360 2-in-1 Laptop","13.5-inch diagonal 3K2K OLED touchscreen, Intel Core i7, 16GB RAM, 1TB SSD, Windows 11 Pro. The best 2-in-1 laptop in the market.",699.99,"HPPro",False
